Abisinio
Africano doméstico
American Curl
American shorthair
American wirehair
Angora turco
Azul ruso
Bengala
Bobtail japonés
Bombay
Bosque de Noruega
British Shorthair
Burmés
Burmilla
California Spangled
Ceylon
Chartreux
Cornish rex
Devon rex
Don Sphynx
Dorado africano
Dragon Li
Europeo Común
Exótico de Pelo Corto
FoldEx
German Rex
Habana brown
Himalayo
Khao Manee
Korat
Maine Coon
Manx
Mau egipcio
Munchkin
Ocicat
Oriental
Oriental de pelo largo
Persa Americano o Moderno
Peterbald
Ragdoll
Sagrado de Birmania
Scottish Fold
Selkirk rex
Serengeti
Seychellois
Siamés
Siamés Moderno
Siamés Tradicional
Siberiano
Snowshoe
Sphynx
Tonkinés
Van Turco
